course,section,section-capacity,dow,start-time,duration,room,first-name,last-name
COMP1103,1,50,Thursday,13:00,1:30,B217,Jim,Davis
COMP1103,1,50,Tuesday,13:00,1:30,B217,Jim,Davis
COMP1103,501,42,Thursday,14:30,1:00,E203,Jim,Davis
COMP1103,502,25,Thursday,15:30,1:00,E203,Jim,Davis
COMP1103,2,50,Friday,13:00,1:30,T107,Noor,Abid
COMP1103,2,50,Wednesday,13:00,1:30,T107,Noor,Abid
COMP1103,503,25,Friday,11:30,1:00,E203,Noor,Abid
COMP1103,504,25,Friday,9:00,1:00,E203,Noor,Abid
COMP1103,3,50,Thursday,11:30,1:30,T107,Jim,Davis
COMP1103,3,50,Tuesday,11:30,1:30,T107,Jim,Davis
COMP1103,505,25,Tuesday,9:30,1:00,E203,Jim,Davis
COMP1103,506,25,Tuesday,8:30,1:00,E203,Jim,Davis
COMP1207,1,35,Thursday,11:30,1:30,E204,Patrick,Perri
COMP1207,1,35,Tuesday,11:30,1:30,E203,Patrick,Perri
COMP1501,1,40,Thursday,14:30,1:30,T225,Jordan,Pratt
COMP1501,1,40,Tuesday,14:30,1:30,T225,Jordan,Pratt
COMP1501,401,25,Friday,11:30,1:00,B107,Jordan,Pratt
COMP1501,402,20,Friday,12:30,1:00,B107,Jordan,Pratt
COMP1501,501,20,Wednesday,14:30,1:00,B107,Jordan,Pratt
COMP1501,502,20,Wednesday,10:30,1:00,B107,Jordan,Pratt
COMP1502,1,40,Wednesday,11:30,1:30,T239,Tyson,Kendon
COMP1502,1,40,Monday,11:30,1:30,T239,Tyson,Kendon
COMP1502,401,20,Tuesday,11:00,1:00,B107,Tyson,Kendon
COMP1502,402,20,Tuesday,12:00,1:00,B107,Tyson,Kendon
COMP1502,501,20,Thursday,11:00,1:00,B107,Tyson,Kendon
COMP1502,502,20,Thursday,12:00,1:00,B107,Tyson,Kendon
COMP1502,2,40,Wednesday,14:30,1:30,T239,Jonathan,Hudson
COMP1502,2,40,Monday,14:30,1:30,T239,Jonathan,Hudson
COMP1502,403,20,Thursday,13:00,1:00,B107,Jonathan,Hudson
COMP1502,404,20,Thursday,14:00,1:00,B107,Jonathan,Hudson
COMP1502,503,20,Tuesday,13:00,1:00,B107,Jonathan,Hudson
COMP1502,504,20,Tuesday,14:00,1:00,B107,Jonathan,Hudson
COMP1615,1,35,Wednesday,8:30,1:30,E203,Jim,Davis
