Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment
COMP-1103-001,40557,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,T R,1300pm,1420pm,03-SEP-20 To 22-DEC-20,LP,O218,50,1,Amini Tareh M,,,,Lecture 001 take lab 501 or 502.
COMP-1103-002,40558,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,M W,1430pm,1550pm,03-SEP-20 To 22-DEC-20,LP,B219,50,1,Davis J,,,,Lecture 002 take lab 503 or 504.
COMP-1103-003,40559,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,M W,1130am,1250pm,03-SEP-20 To 22-DEC-20,LP,B101,50,1,Perri P, ,,,Lecture 003 take lab 505 or 506.
COMP-1103-501,40560,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,1500pm,1550pm,03-SEP-20 To 22-DEC-20,LP,E203,25,1,Amini Tareh M,,,,
COMP-1103-502,40561,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,1600pm,1650pm,03-SEP-20 To 22-DEC-20,LP,E203,25,1,Amini Tareh M,,,,
COMP-1103-503,40562,MATHEMATICS & COMPUTING,Laboratory,0,LAB,F,1230pm,1320pm,03-SEP-20 To 22-DEC-20,LP,B162,25,1,Davis J,,,,
COMP-1103-504,40563,MATHEMATICS & COMPUTING,Laboratory,0,LAB,F,1330pm,1420pm,03-SEP-20 To 22-DEC-20,LP,B162,25,1,Davis J,,,,
COMP-1103-505,40564,MATHEMATICS & COMPUTING,Laboratory,0,LAB,M,1330pm,1420pm,03-SEP-20 To 22-DEC-20,LP,B162,25,1,Perri P, ,,,
COMP-1103-506,40565,MATHEMATICS & COMPUTING,Laboratory,0,LAB,M,1430pm,1520pm,03-SEP-20 To 22-DEC-20,LP,B162,25,1,Perri P, ,,,
COMP-1207-001,40566,MATHEMATICS & COMPUTING,Intro.  to Digital Technologies,3,LEC,M W,0830am,0950am,03-SEP-20 To 22-DEC-20,LP,E203,35,1,Perri P, ,,,
COMP-1501-001,40567,MATHEMATICS & COMPUTING,Programming I,3,LEC,M W,1130am,1250pm,03-SEP-20 To 22-DEC-20,LP,T107,40,1,Kendon T,,,,"RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take tutorial 401 or 402, and lab 501 or 502.  No waitlisting for this course."
COMP-1501-002,40568,MATHEMATICS & COMPUTING,Programming I,3,LEC,M W,1430pm,1550pm,03-SEP-20 To 22-DEC-20,LP,Q306,60,1,Yumol R, ,,,"RESTRICTION: Bachelor of Computer Information Systems | Lecture 002 take one of tutorials 403 - 405, and one of labs 503 - 505.  No waitlisting for this course."
COMP-1501-401,40569,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B107,20,1,Kendon T,,,,
COMP-1501-402,40570,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1230pm,1320pm,03-SEP-20 To 22-DEC-20,LP,B107,20,1,Kendon T,,,,
COMP-1501-403,40571,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1430pm,1520pm,03-SEP-20 To 22-DEC-20,LP,B107,20,1,Yumol R, ,,,
