Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-1103-001,10535,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,W F,1000am,1120am,06-JAN-21 To 24-APR-21,LP,B217,50,1,TBA,,,,Lecture 001 take lab 501 or 502.,,,,,,,
COMP-1103-002,10536,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T107,50,1,TBA,,,,Lecture 002 take lab 503 or 504.,,,,,,,
COMP-1103-003,10537,MATHEMATICS & COMPUTING,Introduction to Computers,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,O222,50,1,Perri P,,,,Lecture 003 take lab 505 or 506.,,,,,,,
COMP-1103-501,10538,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1530pm,1620pm,06-JAN-21 To 24-APR-21,LP,E203,25,1,TBA,,,,,,,,,,,
COMP-1103-502,10539,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,E203,25,1,TBA,,,,,,,,,,,
COMP-1103-503,10540,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,E203,25,1,TBA,,,,,,,,,,,
COMP-1103-504,10541,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,E203,25,1,TBA,,,,,,,,,,,
COMP-1103-505,10542,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,0830am,0920am,06-JAN-21 To 24-APR-21,LP,E203,25,1,Perri P,,,,,,,,,,,
COMP-1103-506,10543,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,0930am,1020am,06-JAN-21 To 24-APR-21,LP,E203,25,1,Perri P,,,,,,,,,,,
COMP-1501-001,10544,MATHEMATICS & COMPUTING,Programming I,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T225,20,1,TBA,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take tutorial 401 or 402 and lab 501 or 502.,,,,,,,
COMP-1501-101,12532,MATHEMATICS & COMPUTING,Programming I,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T225,20,1,TBA,,,,Lecture 101 take tutorial 401 or 402 and lab 501 or 502.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-1501-401,10545,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1200pm,1250pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-1501-402,10546,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1300pm,1350pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-1501-501,10547,MATHEMATICS & COMPUTING,Laboratory,0,LAB,F,1300pm,1350pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-1501-502,10548,MATHEMATICS & COMPUTING,Laboratory,0,LAB,F,1400pm,1450pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,TBA,,,,,,,,,,,
COMP-1502-001,10549,MATHEMATICS & COMPUTING,ProgrammingII Object Oriented,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,EA,EA1067,40,1,TBA,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take tutorial 401 or 402 and lab 501 or 502.  No waitlisting for this course.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://w ww.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-1502-002,10550,MATHEMATICS & COMPUTING,ProgrammingII Object Oriented,3,LEC,M W,1000am,1120am,06-JAN-21 To 24-APR-21,LP,B101,60,1,TBA,,,,"RESTRICTION: Bachelor of Computer Information Systems | Lecture 002 take tutorial 403, 404 or 405 and lab 503, 504 or 505.  No waitlisting for this course.  Prerequisite checking is in effect for this course.  Refer to the current MR U http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.",,,,,,,
