Course,,Comp,,Plan Enrol,Assigned Day,Assigned Start Time,Assigned Duration,Room Assigned,First Name,Last Name
COMP1103,,1,,50,Tuesday,8:30,1:30,W316,Alan,Fedoruk
,,,,,Thursday,8:30,1:30,W316,Alan,Fedoruk
,,501,,25,Wednesday,9:00,1:00,E203,Alan,Fedoruk
,,502,,25,Monday,8:30,1:00,E203,Alan,Fedoruk
,,2,,50,Monday,16:00,1:30,W316,,
,,,,,Wednesday,16:00,1:30,W316,,
,,503,,25,Friday,12:30,1:00,E203,,
,,504,,25,Thursday,16:30,1:00,E203,,
,,3,,50,Monday,16:00,1:30,W322,,
,,,,,Wednesday,16:00,1:30,W322,,
,,505,,25,Thursday,15:30,1:00,E203,,
,,506,,25,Tuesday,15:30,1:00,E203,,
COMP1501,,1,,60,Tuesday,13:00,1:30,W231,,
,,,,,Thursday,13:00,1:30,W231,,
,,401,,20,Wednesday,12:00,1:00,B107,,
,,402,,20,Wednesday,15:00,1:00,B107,,
,,403,,20,Wednesday,8:30,1:00,B162,,
,,501,,20,Friday,14:00,1:00,B107,,
,,502,,20,Friday,10:00,1:00,B162,,
,,503,,20,Friday,8:30,1:00,B162,,
COMP1502,,1,,40,Monday,11:30,1:30,T235,Khosro,Salmani
,,,,,Wednesday,11:30,1:30,T235,Khosro,Salmani
,,401,,20,Tuesday,10:00,1:00,B107,Khosro,Salmani
,,402,,20,Tuesday,11:00,1:00,B107,Khosro,Salmani
,,501,,20,Thursday,10:00,1:00,B107,Khosro,Salmani
,,502,,20,Thursday,11:00,1:00,B107,Khosro,Salmani
,,2,,40,Tuesday,11:30,1:30,EB1006,,
,,,,,Thursday,11:30,1:30,EB1006,,
,,403,,20,Thursday,14:00,1:00,B107,,
,,404,,20,Thursday,15:00,1:00,B107,,
,,503,,20,Friday,12:00,1:00,B107,,
,,504,,20,Friday,13:00,1:00,B107,,
,,3,,40,Monday,10:00,1:30,T133,Namrata,Khemka
,,,,,Wednesday,10:00,1:30,T133,Namrata,Khemka
,,405,,20,Tuesday,12:00,1:00,B107,Namrata,Khemka
,,406,,20,Tuesday,13:00,1:00,B107,Namrata,Khemka
,,505,,20,Friday,10:00,1:00,B107,Namrata,Khemka
,,506,,20,Friday,11:00,1:00,B107,Namrata,Khemka
COMP1633,,1,,40,Monday,10:00,1:30,T225,Charlotte,Curtis
,,,,,Wednesday,10:00,1:30,T225,Charlotte,Curtis
,,401,,20,Tuesday,10:00,1:00,,Charlotte,Curtis
,,,,,Thursday,10:00,1:00,,Charlotte,Curtis
,,402,,20,Tuesday,11:00,1:00,,Charlotte,Curtis
,,,,,Thursday,11:00,1:00,,Charlotte,Curtis
,,2,,40,Tuesday,16:00,1:30,T239,Eric,Chalmers
,,,,,Thursday,16:00,1:30,T239,Eric,Chalmers
,,403,,20,Wednesday,15:00,1:00,,Eric,Chalmers
,,,,,Friday,15:00,1:00,,Eric,Chalmers
,,404,,20,Wednesday,9:00,1:00,EA2012,Eric,Chalmers
,,,,,Friday,9:00,1:00,EA2012,Eric,Chalmers
COMP2001,,1,,50,Monday,13:00,1:30,T107,Patrick,Perri
,,,,,Wednesday,13:00,1:30,T107,Patrick,Perri
,,401,,25,Tuesday,8:30,1:00,B162,Patrick,Perri
,,,,,Thursday,8:30,1:00,B162,Patrick,Perri
,,402,,25,Tuesday,9:30,1:00,B162,Patrick,Perri
,,,,,Thursday,9:30,1:00,B162,Patrick,Perri
COMP2008,,1,,48,Tuesday,13:00,1:30,T223,Patrick,Perri
,,,,,Thursday,13:00,1:30,T223,Patrick,Perri
,,401,,24,Friday,11:30,1:00,E203,Patrick,Perri
,,402,,24,Wednesday,11:30,1:00,E203,Patrick,Perri
COMP2503,,1,,40,Tuesday,8:30,1:30,EB3126,Maryam,Elahi
,,,,,Thursday,8:30,1:30,EB3126,Maryam,Elahi
,,401,,20,Friday,11:00,1:00,B162,Maryam,Elahi
,,402,,20,Friday,12:00,1:00,B162,Maryam,Elahi
COMP2511,,1,,40,Monday,14:30,1:30,T235,Yasaman,Amannejad
,,,,,Wednesday,14:30,1:30,T235,Yasaman,Amannejad
,,501,,20,Thursday,12:00,1:00,B107,Yasaman,Amannejad
,,502,,20,Thursday,13:00,1:00,B107,Yasaman,Amannejad
,,2,,40,Tuesday,10:00,1:30,EB3130,,
,,,,,Thursday,10:00,1:30,EB3130,,
,,503,,20,Wednesday,10:00,1:00,B107,,
,,504,,20,Wednesday,11:00,1:00,B107,,
,,3,,40,Tuesday,11:30,1:30,T107,,
,,,,,Thursday,11:30,1:30,T107,,
,,505,,20,Wednesday,13:00,1:00,B107,Khosro,Salmani
,,506,,20,Wednesday,14:00,1:00,B107,,
COMP2521,,1,,40,Monday,11:30,1:30,T241,Shoba,Ittyipe
,,,,,Wednesday,11:30,1:30,T241,Shoba,Ittyipe
,,401,,20,Thursday,16:00,1:00,B162,Shoba,Ittyipe
,,402,,20,Thursday,15:00,1:00,B162,Shoba,Ittyipe
,,2,,40,Monday,10:00,1:30,T241,Mingwei,Gong
,,,,,Wednesday,10:00,1:30,T241,Mingwei,Gong
,,403,,20,Tuesday,11:30,1:00,B162,Mingwei,Gong
,,404,,20,Tuesday,10:30,1:00,B162,Mingwei,Gong
COMP2531,,1,,40,Monday,8:30,1:30,T133,Namrata,Khemka
,,,,,Wednesday,8:30,1:30,T133,Namrata,Khemka
,,501,,20,Tuesday,14:00,1:00,B162,Namrata,Khemka
,,502,,20,Tuesday,15:00,1:00,B162,Namrata,Khemka
COMP2541,,1,,40,Monday,13:00,1:30,T133,Shoba,Ittyipe
,,,,,Wednesday,13:00,1:30,T133,Shoba,Ittyipe
,,401,,20,Thursday,13:30,1:00,E203,Shoba,Ittyipe
,,402,,20,Thursday,12:30,1:00,E203,Shoba,Ittyipe
,,2,,40,Monday,16:00,1:30,T137,Faith-Michael,Uzoka
,,,,,Wednesday,16:00,1:30,T137,Faith-Michael,Uzoka
,,403,,20,Friday,16:00,1:00,B162,Faith-Michael,Uzoka
,,404,,20,Friday,15:00,1:00,B162,Faith-Michael,Uzoka
COMP2631,,1,,30,Monday,16:00,1:30,E131,Charles,Hepler
,,,,,Wednesday,16:00,1:30,E131,Charles,Hepler
,,401,,30,Tuesday,12:30,2:00,E203,Charles,Hepler
COMP2633,,1,,30,Tuesday,8:30,1:30,E206,Faith-Michael,Uzoka
,,,,,Thursday,8:30,1:30,E206,Faith-Michael,Uzoka
,,401,,30,Thursday,10:30,2:00,B162,Faith-Michael,Uzoka
,,2,,30,Monday,13:00,1:30,E206,Namrata,Khemka
,,,,,Wednesday,13:00,1:30,E206,Namrata,Khemka
,,402,,30,Thursday,12:30,2:00,B162,Namrata,Khemka
COMP2655,,1,,30,Monday,10:30,1:00,E206,Paul,Pospisil
,,,,,Wednesday,10:30,1:00,E206,Paul,Pospisil
,,,,,Friday,10:30,1:00,E206,Paul,Pospisil
,,401,,30,Tuesday,9:30,1:00,E203,Paul,Pospisil
,,,,,Thursday,9:30,1:00,E203,Paul,Pospisil
COMP2659,,1,,30,Monday,15:30,1:00,EA2070,Paul,Pospisil
,,,,,Tuesday,15:30,1:00,EA2070,Paul,Pospisil
,,,,,Thursday,15:30,1:00,EA2070,Paul,Pospisil
,,401,,30,Wednesday,14:30,1:00,E203,Paul,Pospisil
